Entity,Types,Name,Description,Authored by,URL
Found My Fitness,Podcast,Found My Fitness,"FoundMyFitness is a website created by Rhonda Patrick, Ph.D. that provides science-based information on fitness, nutrition, and aging. The website includes articles, videos, and a podcast. The podcast features interviews with experts in the fields of fitness, nutrition, and aging.",Dr. Rhonda Patrick,https://www.foundmyfitness.com/episodes
Huberman Lab,Podcast,Huberman Lab,,Dr. Andrew Huberman,https://hubermanlab.com/
Lifespan with Dr. David Sinclair,Podcast,Lifespan with Dr. David Sinclair,,Dr. David Sinclair,https://www.lifespanpodcast.com/
Mayo Clinic,Organization,Mayo Clinic,"Mayo Clinic is a nonprofit organization committed to clinical practice, education and research, providing expert, whole-person care to everyone who needs healing.",,https://www.mayoclinic.org/
MedlinePlus,Website,MedlinePlus,"MedlinePlus is a website created by the U.S. National Library of Medicine. It contains information about diseases, conditions, and wellness issues in both English and Spanish. It also includes a medical dictionary and a directory of doctors, hospitals, and other health care facilities.",,https://medlineplus.gov/
NIH ODS,Federal government agency,The NIH Office of Dietary Supplements (ODS),"The NIH Office of Dietary Supplements (ODS) is a component of the National Institutes of Health (NIH) and is responsible for leading the federal government's effort to help Americans maintain optimal health through dietary supplements. The ODS provides scientific information on dietary supplements and other topics to the public, health professionals, and scientists.",,https://ods.od.nih.gov/
NIH NCCIH,Federal government agency,The National Center for Complementary and Integrative Health (NCCIH),"The National Center for Complementary and Integrative Health (NCCIH) is a division of the National Institutes of Health (NIH). NCCIH's mission is to define, through rigorous scientific investigation, the usefulness and safety of complementary and integrative health interventions and their roles in improving health and health care.",,https://www.nccih.nih.gov/
Podcast Notes,Website,Podcast Notes,"Podcast Notes is a website that provides transcripts of popular podcasts. This can be helpful for people who want to follow along with a podcast episode, or for people who prefer to read rather than listen.",,https://podcastnotes.org/
Cancer.gov,Website,Cancer.gov,"Cancer.gov is a website created by the National Cancer Institute (NCI). The website provides information about cancer, including causes, prevention, treatment, and research. The website also includes a directory of cancer resources and information about clinical trials.",,https://www.cancer.gov/
GPT-3,Artificial intelligence,Generative Pre-trained Transformer 3,GPT-3 is a natural language processing (NLP) model that is used to generate text. It is trained on a large corpus of text and can be used to generate text in a variety of languages.,OpenAI,https://openai.com/
OpenAI,Company,OpenAI,"OpenAI is a private technology firm focused on artificial intelligence although they initially pivoted from deep learning. The company has partnerships with investment firms such as Fidelity Investments, Andreessen Horowitz, and Obvious Ventures. Ever since it’s creation, OpenAI has made large contributions to both its citizens and AI as a whole.",,https://openai.com/
